"HyperLynx Oscilloscope .CSV file"

"Design file: IFA_ESP32.HYP         Designer: Joshua Anthony"
"Created on: 08 March 2025   Time: 09:25:40"
"Created by: HyperLynx VX2.10 build 19246144"
"Comment: "
"Probe 1: U2.1 (at pin)"
"Probe 2: ANT1.1 (at pin)"
"Probe 3: C16.2 (at pin)"
"Probe 4: C18.2 (at pin)"
"Probe 5: L3.1 (at pin)"
"Probe 6: L3.2 (at pin)"
"","Time","Probe V V [U2.1 (at pin)]","Probe V V [ANT1.1 (at pin)]","Probe V V [C16.2 (at pin)]","Probe V V [C18.2 (at pin)]","Probe V V [L3.1 (at pin)]","Probe V V [L3.2 (at pin)]"
""," 175.0105660e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 175.9882728e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 176.9659796e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 177.9437042e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 178.9214110e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 179.8991178e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 180.8768424e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 181.8545492e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 182.8322560e-10","5.000004","9.999903e-09","5.000003","5.000004","5.000003","5.000004"
""," 183.8099806e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 184.7876874e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 185.7653942e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 186.7431187e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 187.7208256e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 188.6985324e-10","5.000004","9.999903e-09","5.000004","5.000004","5.000004","5.000004"
""," 189.6762569e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 190.6539637e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 191.6316705e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 192.6093951e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 193.5871019e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 194.5648087e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 195.5425333e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 196.5202401e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 197.4979469e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 198.4756715e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 199.4533783e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 200.4310851e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 201.4088096e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 202.3865164e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 203.3642232e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 204.3419478e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 205.3196546e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 206.2973614e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 207.2750860e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 208.2527928e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 209.2304996e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 210.2082242e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 211.1859310e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 212.1636378e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 213.1413623e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 214.1190691e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 215.0967759e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 216.0745005e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 217.0522073e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 218.0299141e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 219.0076387e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
""," 219.9853455e-10","5.000005","9.999903e-09","5.000005","5.000005","5.000005","5.000005"
